               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.045703,            0.013284,           0.0030495,             0.93514,             0.80209,             0.97833,             0.56964,            0.020355,           0.0065901,           0.0017945,            0.004951,            0.004951,            0.004951
                 104,            0.046865,            0.018705,           0.0062734,             0.93514,             0.80209,             0.97833,             0.56964,            0.020355,           0.0065901,           0.0017945,           0.0049015,           0.0049015,           0.0049015
                 105,            0.044751,            0.013464,           0.0034221,             0.84747,             0.91603,               0.945,             0.63547,            0.019121,           0.0066362,           0.0017722,            0.004852,            0.004852,            0.004852
                 106,            0.046176,             0.01351,           0.0052885,             0.84747,             0.91603,               0.945,             0.63547,            0.019121,           0.0066362,           0.0017722,           0.0048025,           0.0048025,           0.0048025
                 107,            0.045446,            0.017304,           0.0037972,             0.95461,             0.80764,             0.97833,             0.58164,            0.023563,           0.0066345,           0.0017265,            0.004753,            0.004753,            0.004753
                 108,             0.04557,            0.015294,            0.005471,             0.95461,             0.80764,             0.97833,             0.58164,            0.023563,           0.0066345,           0.0017265,           0.0047035,           0.0047035,           0.0047035
                 109,            0.049992,             0.01604,           0.0037097,             0.96461,                   1,               0.995,             0.65759,            0.017437,           0.0063498,           0.0016965,            0.004654,            0.004654,            0.004654
                 110,            0.052522,            0.015028,           0.0043336,             0.96461,                   1,               0.995,             0.65759,            0.017437,           0.0063498,           0.0016965,           0.0046045,           0.0046045,           0.0046045
                 111,            0.041941,            0.020073,           0.0040841,             0.97237,                   1,               0.995,             0.76892,            0.016388,           0.0062909,           0.0016413,            0.004555,            0.004555,            0.004555
                 112,             0.03561,            0.016949,           0.0031632,             0.97237,                   1,               0.995,             0.76892,            0.016388,           0.0062909,           0.0016413,           0.0045055,           0.0045055,           0.0045055
                 113,            0.035085,            0.017525,           0.0058817,             0.91684,                   1,               0.995,             0.61963,            0.021031,           0.0066698,           0.0016319,            0.004456,            0.004456,            0.004456
                 114,            0.036225,            0.016299,           0.0030488,             0.91684,                   1,               0.995,             0.61963,            0.021031,           0.0066698,           0.0016319,           0.0044065,           0.0044065,           0.0044065
                 115,            0.041927,            0.019651,           0.0039293,             0.91179,                   1,             0.97833,             0.77873,            0.015351,           0.0063857,           0.0015758,            0.004357,            0.004357,            0.004357
                 116,            0.027833,            0.012817,           0.0029829,             0.91179,                   1,             0.97833,             0.77873,            0.015351,           0.0063857,           0.0015758,           0.0043075,           0.0043075,           0.0043075
                 117,            0.043958,            0.014777,           0.0062889,             0.97916,             0.99992,               0.995,             0.70768,            0.017229,           0.0064388,           0.0015611,            0.004258,            0.004258,            0.004258
                 118,            0.039428,            0.012643,           0.0038279,             0.97916,             0.99992,               0.995,             0.70768,            0.017229,           0.0064388,           0.0015611,           0.0042085,           0.0042085,           0.0042085
                 119,            0.042128,            0.010587,           0.0084953,             0.93975,             0.87924,             0.97833,             0.60787,            0.023496,           0.0064316,           0.0014869,            0.004159,            0.004159,            0.004159
                 120,            0.043693,            0.016124,           0.0053573,             0.93975,             0.87924,             0.97833,             0.60787,            0.023496,           0.0064316,           0.0014869,           0.0041095,           0.0041095,           0.0041095
                 121,            0.040752,            0.010595,           0.0029907,             0.87986,                   1,             0.97833,             0.71121,            0.019715,           0.0060947,           0.0014591,             0.00406,             0.00406,             0.00406
                 122,            0.037761,            0.016033,             0.01101,             0.87986,                   1,             0.97833,             0.71121,            0.019715,           0.0060947,           0.0014591,           0.0040105,           0.0040105,           0.0040105
                 123,            0.044488,            0.012976,           0.0067149,             0.98131,                   1,               0.995,             0.71424,            0.016872,           0.0061348,           0.0014188,            0.003961,            0.003961,            0.003961
                 124,            0.027907,            0.012906,           0.0055839,             0.98131,                   1,               0.995,             0.71424,            0.016872,           0.0061348,           0.0014188,           0.0039115,           0.0039115,           0.0039115
                 125,            0.031457,             0.02136,           0.0067645,             0.98578,                   1,               0.995,             0.82223,            0.016851,           0.0063886,           0.0014263,            0.003862,            0.003862,            0.003862
                 126,             0.04428,            0.015963,            0.016987,             0.98578,                   1,               0.995,             0.82223,            0.016851,           0.0063886,           0.0014263,           0.0038125,           0.0038125,           0.0038125
