               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.044029,            0.014896,             0.00302,             0.71588,             0.99981,             0.98389,             0.53964,            0.020566,           0.0064075,           0.0012415,            0.006139,            0.006139,            0.006139
                 119,            0.042766,            0.013503,           0.0036567,             0.85095,             0.92181,               0.945,             0.58834,            0.019766,           0.0062258,           0.0012689,            0.006106,            0.006106,            0.006106
                 120,            0.035771,            0.015552,           0.0040024,             0.85095,             0.92181,               0.945,             0.58834,            0.019766,           0.0062258,           0.0012689,            0.006073,            0.006073,            0.006073
                 121,            0.035493,            0.012808,           0.0027452,             0.97869,             0.99959,               0.995,             0.69892,             0.02019,           0.0061419,           0.0013168,             0.00604,             0.00604,             0.00604
                 122,            0.041738,            0.013344,           0.0038829,             0.97869,             0.99959,               0.995,             0.69892,             0.02019,           0.0061419,           0.0013168,            0.006007,            0.006007,            0.006007
                 123,            0.038965,             0.01277,           0.0035727,             0.97324,                   1,               0.995,             0.50145,            0.022159,           0.0061617,           0.0013801,            0.005974,            0.005974,            0.005974
                 124,            0.037147,             0.01515,           0.0031039,             0.97324,                   1,               0.995,             0.50145,            0.022159,           0.0061617,           0.0013801,            0.005941,            0.005941,            0.005941
                 125,            0.034802,            0.015336,           0.0027532,             0.92801,              0.9994,             0.97833,             0.72348,            0.019435,           0.0063293,           0.0013632,            0.005908,            0.005908,            0.005908
                 126,            0.036896,            0.015496,           0.0030337,             0.92801,              0.9994,             0.97833,             0.72348,            0.019435,           0.0063293,           0.0013632,            0.005875,            0.005875,            0.005875
                 127,            0.036378,            0.014922,           0.0046447,             0.91506,              0.9999,             0.97833,             0.58229,            0.018853,           0.0060592,           0.0014192,            0.005842,            0.005842,            0.005842
                 128,            0.043305,            0.014148,           0.0043976,             0.91506,              0.9999,             0.97833,             0.58229,            0.018853,           0.0060592,           0.0014192,            0.005809,            0.005809,            0.005809
                 129,            0.036693,            0.012801,           0.0033373,             0.96991,             0.99953,               0.995,             0.65346,            0.018854,           0.0058954,           0.0013997,            0.005776,            0.005776,            0.005776
                 130,            0.039979,            0.012702,           0.0046671,             0.96991,             0.99953,               0.995,             0.65346,            0.018854,           0.0058954,           0.0013997,            0.005743,            0.005743,            0.005743
                 131,            0.036637,            0.016069,           0.0043492,             0.98808,                   1,               0.995,             0.74268,            0.014852,           0.0055183,           0.0013804,             0.00571,             0.00571,             0.00571
                 132,            0.027595,             0.01038,           0.0026938,             0.98808,                   1,               0.995,             0.74268,            0.014852,           0.0055183,           0.0013804,            0.005677,            0.005677,            0.005677
                 133,            0.033979,            0.013461,           0.0025353,             0.98429,             0.99983,               0.995,             0.72936,            0.018731,           0.0059446,           0.0013614,            0.005644,            0.005644,            0.005644
